"","text","favorite_count","retweet_count"
"901","788569",26,3
"902","788563",14,1
"903","788561",21,4
"904","788549",21,1
"905","788537",23,1
"906","788531",23,3
"907","788527",30,5
"908","788521",13,0
"909","788497",16,0
"910","788479",23,1
"911","788467",26,3
"912","788449",395,44
"913","788429",20,2
"914","788419",16,0
"915","788413",23,1
"916","788399",30,3
"917","788393",15,0
"918","788387",12,0
"919","788383",34,1
"920","788377",19,0
"921","788369",23,3
"922","788363",18,1
"923","788357",13,2
"924","788353",13,1
"925","788351",13,2
"926","788321",15,1
"927","788317",24,2
"928","788309",19,2
"929","788287",25,2
"930","788267",13,1
"931","788261",16,1
"932","788231",23,3
"933","788213",13,0
"934","788209",20,0
"935","788189",13,0
"936","788173",17,2
"937","788167",27,1
"938","788159",17,1
"939","788153",20,0
"940","788129",20,0
"941","788107",20,0
"942","788093",16,0
"943","788089",26,3
"944","788087",29,1
"945","788077",39,5
"946","788071",23,3
"947","788041",13,1
"948","788033",23,3
"949","788027",13,2
"950","788023",18,2
"951","788009",33,6
"952","787999",56,7
"953","787993",19,1
"954","787981",22,1
"955","787973",29,2
"956","787939",18,0
"957","787907",21,1
"958","787903",19,3
"959","787883",17,0
"960","787879",73,19
"961","787837",27,6
"962","787823",17,1
"963","787817",20,1
"964","787811",18,3
"965","787807",29,2
"966","787793",16,0
"967","787783",24,3
"968","787777",179,45
"969","787771",39,5
"970","787769",26,4
"971","787757",23,2
"972","787751",13,3
"973","787747",29,5
"974","787711",18,2
"975","787697",19,1
"976","787667",21,3
"977","787649",15,2
"978","787639",13,2
"979","787621",20,1
"980","787609",19,1
"981","787601",17,0
"982","787573",25,1
"983","787547",20,2
"984","787541",11,1
"985","787537",20,1
"986","787529",17,4
"987","787519",21,1
"988","787517",17,0
"989","787513",23,0
"990","787489",21,1
"991","787483",18,0
"992","787477",32,2
"993","787469",29,2
"994","787447",26,2
"995","787439",8,2
"996","787433",16,2
"997","787429",13,0
"998","787427",24,5
"999","787361",14,0
"1000","787357",19,1
"1001","787337",20,4
"1002","787333",38,4
"1003","787331",15,1
"1004","787309",15,0
"1005","787289",16,0
"1006","787277",24,2
"1007","787261",14,1
"1008","787243",25,3
"1009","787217",11,2
"1010","787207",12,0
"1011","787187",40,5
"1012","787181",22,1
"1013","787153",9,0
"1014","787139",12,0
"1015","787123",17,0
"1016","787099",26,0
"1017","787091",20,1
"1018","787079",31,1
"1019","787069",37,6
"1020","787067",15,1
"1021","787057",15,2
"1022","787051",12,1
"1023","787043",13,2
"1024","787021",11,2
"1025","786983",15,2
"1026","786979",16,1
"1027","786971",16,1
"1028","786959",25,2
"1029","786949",21,2
"1030","786941",25,3
"1031","786937",14,1
"1032","786931",24,2
"1033","786901",22,2
"1034","786889",21,5
"1035","786887",16,4
"1036","786881",12,2
"1037","786859",12,1
"1038","786833",14,0
"1039","786829",14,0
"1040","786823",11,1
"1041","786803",17,1
"1042","786763",13,2
"1043","786739",10,2
"1044","786719",14,1
"1045","786707",10,1
"1046","786703",8,0
"1047","786701",23,2
"1048","786697",10,2
"1049","786691",21,5
"1050","786673",17,3
"1051","786661",37,2
"1052","786659",15,4
"1053","786629",16,1
"1054","786613",23,1
"1055","786589",24,2
"1056","786587",22,3
"1057","786553",14,1
"1058","786551",13,3
"1059","786547",20,1
"1060","786491",17,0
"1061","786469",26,2
"1062","786449",18,0
"1063","786433",14,0
"1064","786431",15,0
"1065","786419",15,0
"1066","786407",19,1
"1067","786371",17,2
"1068","786349",17,1
"1069","786337",15,2
"1070","786329",21,0
"1071","786319",22,3
"1072","786311",21,0
"1073","786307",22,1
"1074","786271",19,1
"1075","786251",14,0
"1076","786241",19,0
"1077","786223",10,0
"1078","786211",20,1
"1079","786197",16,2
"1080","786179",21,2
"1081","786173",24,3
"1082","786167",16,2
"1083","786151",26,1
"1084","786127",19,0
"1085","786109",16,0
"1086","786077",16,0
"1087","786061",11,0
"1088","786059",14,0
"1089","786053",23,0
"1090","786047",13,1
"1091","786031",16,0
"1092","786017",18,1
"1093","786013",14,1
"1094","786001",40,5
"1095","785963",21,1
"1096","785951",16,0
"1097","785947",20,1
"1098","785923",20,0
"1099","785921",16,0
"1100","785903",22,3
"1101","785879",14,0
"1102","785861",20,2
"1103","785857",31,6
"1104","785839",19,2
"1105","785809",23,1
"1106","785803",19,1
"1107","785801",26,2
"1108","785779",18,1
"1109","785777",33,2
"1110","785773",20,2
"1111","785753",21,5
"1112","785737",19,2
"1113","785731",14,1
"1114","785717",16,1
"1115","785693",41,5
"1116","785671",18,1
"1117","785651",12,0
"1118","785641",19,1
"1119","785627",20,2
"1120","785623",29,2
"1121","785597",16,1
"1122","785591",27,1
"1123","785579",18,2
"1124","785573",32,2
"1125","785569",16,1
"1126","785549",17,0
"1127","785537",13,0
"1128","785527",21,2
"1129","785503",24,1
"1130","785501",26,1
"1131","785483",27,3
"1132","785461",15,0
"1133","785459",14,0
"1134","785431",20,0
"1135","785423",22,1
"1136","785413",25,0
"1137","785377",27,4
"1138","785363",22,2
"1139","785357",30,3
"1140","785353",35,2
"1141","785347",16,0
"1142","785341",15,3
"1143","785333",29,0
"1144","785329",23,0
"1145","785321",29,1
"1146","785311",14,0
"1147","785303",27,2
"1148","785299",24,2
"1149","785293",28,2
"1150","785287",19,2
"1151","785269",25,2
"1152","785249",16,0
"1153","785227",11,0
"1154","785221",13,3
"1155","785219",18,0
"1156","785207",19,0
"1157","785203",13,0
"1158","785167",14,0
"1159","785159",15,0
"1160","785153",24,0
"1161","785143",17,1
"1162","785129",17,0
"1163","785123",23,3
"1164","785119",23,2
"1165","785107",22,1
"1166","785101",23,0
"1167","785093",17,2
"1168","785053",12,0
"1169","785033",19,0
"1170","785017",14,0
"1171","785003",15,0
"1172","784981",13,1
"1173","784961",17,0
"1174","784957",9,0
"1175","784939",15,1
"1176","784919",20,1
"1177","784913",12,1
"1178","784897",17,2
"1179","784867",22,2
"1180","784859",17,2
"1181","784841",26,1
"1182","784837",21,4
"1183","784831",12,0
"1184","784799",14,0
"1185","784789",10,1
"1186","784753",15,1
"1187","784727",19,1
"1188","784723",13,1
"1189","784717",20,2
"1190","784697",22,3
"1191","784687",20,4
"1192","784661",22,3
"1193","784649",22,1
"1194","784627",17,1
"1195","784603",22,2
"1196","784583",17,0
"1197","784577",15,1
"1198","784573",9,1
